Funcion objetivo: 3539265.0(error termination)


** Creation Runtime:0:10:19
** Execution Default Runtime:0:21:54

La tarea 26, el trabajador 68, el horario 4, el dia 3, rango salarial 1: 1.0
La tarea 26, el trabajador 75, el horario 4, el dia 3, rango salarial 2: 1.0
La tarea 26, el trabajador 92, el horario 4, el dia 3, rango salarial 1: 1.0
La tarea 28, el trabajador 16, el horario 1, el dia 3, rango salarial 0: 1.0
La tarea 28, el trabajador 27, el horario 1, el dia 3, rango salarial 1: 1.0
La tarea 28, el trabajador 63, el horario 1, el dia 3, rango salarial 0: 1.0
La tarea 28, el trabajador 97, el horario 1, el dia 3, rango salarial 1: 1.0
La tarea 29, el trabajador 12, el horario 4, el dia 0, rango salarial 2: 1.0
La tarea 29, el trabajador 22, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 29, el trabajador 24, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 29, el trabajador 34, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 29, el trabajador 35, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 29, el trabajador 45, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 29, el trabajador 72, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 30, el trabajador 7, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 30, el trabajador 8, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 30, el trabajador 30, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 30, el trabajador 39, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 30, el trabajador 68, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 30, el trabajador 79, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 30, el trabajador 86, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 30, el trabajador 98, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 31, el trabajador 6, el horario 4, el dia 0, rango salarial 3: 1.0
La tarea 31, el trabajador 28, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 31, el trabajador 45, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 31, el trabajador 50, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 31, el trabajador 53, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 31, el trabajador 55, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 31, el trabajador 60, el horario 4, el dia 0, rango salarial 2: 1.0
La tarea 31, el trabajador 65, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 31, el trabajador 68, el horario 4, el dia 0, rango salarial 2: 1.0
La tarea 31, el trabajador 77, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 31, el trabajador 84, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 31, el trabajador 85, el horario 4, el dia 0, rango salarial 2: 1.0
La tarea 33, el trabajador 0, el horario 0, el dia 1, rango salarial 2: 1.0
La tarea 33, el trabajador 17, el horario 0, el dia 1, rango salarial 2: 1.0
La tarea 33, el trabajador 39, el horario 0, el dia 1, rango salarial 0: 1.0
La tarea 33, el trabajador 51, el horario 0, el dia 1, rango salarial 0: 1.0
La tarea 33, el trabajador 69, el horario 0, el dia 1, rango salarial 2: 1.0
La tarea 36, el trabajador 3, el horario 2, el dia 1, rango salarial 2: 1.0
La tarea 36, el trabajador 10, el horario 2, el dia 1, rango salarial 0: 1.0
La tarea 36, el trabajador 22, el horario 2, el dia 1, rango salarial 3: 1.0
La tarea 36, el trabajador 53, el horario 2, el dia 1, rango salarial 0: 1.0
La tarea 36, el trabajador 54, el horario 2, el dia 1, rango salarial 1: 1.0
La tarea 36, el trabajador 84, el horario 2, el dia 1, rango salarial 2: 1.0
La tarea 36, el trabajador 85, el horario 2, el dia 1, rango salarial 1: 1.0
La tarea 36, el trabajador 90, el horario 2, el dia 1, rango salarial 1: 1.0
La tarea 37, el trabajador 6, el horario 3, el dia 0, rango salarial 1: 1.0
La tarea 37, el trabajador 26, el horario 3, el dia 0, rango salarial 2: 1.0
La tarea 37, el trabajador 29, el horario 3, el dia 0, rango salarial 1: 1.0
La tarea 37, el trabajador 52, el horario 3, el dia 0, rango salarial 3: 1.0
La tarea 38, el trabajador 4, el horario 0, el dia 4, rango salarial 1: 1.0
La tarea 38, el trabajador 25, el horario 0, el dia 4, rango salarial 2: 1.0
La tarea 38, el trabajador 60, el horario 0, el dia 4, rango salarial 3: 1.0
La tarea 40, el trabajador 22, el horario 4, el dia 1, rango salarial 1: 1.0
La tarea 40, el trabajador 28, el horario 4, el dia 1, rango salarial 2: 1.0
La tarea 40, el trabajador 84, el horario 4, el dia 1, rango salarial 1: 1.0
La tarea 40, el trabajador 93, el horario 4, el dia 1, rango salarial 1: 1.0
La tarea 41, el trabajador 1, el horario 4, el dia 4, rango salarial 2: 1.0
La tarea 41, el trabajador 18, el horario 4, el dia 4, rango salarial 1: 1.0
La tarea 41, el trabajador 21, el horario 4, el dia 4, rango salarial 0: 1.0
La tarea 41, el trabajador 55, el horario 4, el dia 4, rango salarial 3: 1.0
La tarea 41, el trabajador 59, el horario 4, el dia 4, rango salarial 2: 1.0
La tarea 41, el trabajador 77, el horario 4, el dia 4, rango salarial 0: 1.0
La tarea 41, el trabajador 81, el horario 4, el dia 4, rango salarial 0: 1.0
La tarea 41, el trabajador 94, el horario 4, el dia 4, rango salarial 1: 1.0
La tarea 43, el trabajador 3, el horario 4, el dia 1, rango salarial 0: 1.0
La tarea 43, el trabajador 31, el horario 4, el dia 1, rango salarial 0: 1.0
La tarea 43, el trabajador 35, el horario 4, el dia 1, rango salarial 0: 1.0
La tarea 43, el trabajador 55, el horario 4, el dia 1, rango salarial 2: 1.0
La tarea 43, el trabajador 61, el horario 4, el dia 1, rango salarial 2: 1.0
La tarea 43, el trabajador 75, el horario 4, el dia 1, rango salarial 2: 1.0
La tarea 43, el trabajador 88, el horario 4, el dia 1, rango salarial 1: 1.0
La tarea 44, el trabajador 1, el horario 3, el dia 0, rango salarial 2: 1.0
La tarea 44, el trabajador 25, el horario 3, el dia 0, rango salarial 3: 1.0
La tarea 44, el trabajador 71, el horario 3, el dia 0, rango salarial 0: 1.0
La tarea 44, el trabajador 74, el horario 3, el dia 0, rango salarial 1: 1.0
La tarea 45, el trabajador 4, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 45, el trabajador 16, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 45, el trabajador 20, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 45, el trabajador 48, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 45, el trabajador 57, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 45, el trabajador 61, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 45, el trabajador 64, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 45, el trabajador 74, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 45, el trabajador 88, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 45, el trabajador 97, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 46, el trabajador 7, el horario 0, el dia 1, rango salarial 2: 1.0
La tarea 46, el trabajador 33, el horario 0, el dia 1, rango salarial 1: 1.0
La tarea 46, el trabajador 44, el horario 0, el dia 1, rango salarial 1: 1.0
La tarea 46, el trabajador 56, el horario 0, el dia 1, rango salarial 1: 1.0
La tarea 46, el trabajador 57, el horario 0, el dia 1, rango salarial 2: 1.0
La tarea 46, el trabajador 70, el horario 0, el dia 1, rango salarial 2: 1.0
La tarea 46, el trabajador 89, el horario 0, el dia 1, rango salarial 2: 1.0
La tarea 47, el trabajador 4, el horario 4, el dia 5, rango salarial 0: 1.0
La tarea 47, el trabajador 18, el horario 4, el dia 5, rango salarial 1: 1.0
La tarea 47, el trabajador 19, el horario 4, el dia 5, rango salarial 1: 1.0
La tarea 47, el trabajador 27, el horario 4, el dia 5, rango salarial 1: 1.0
La tarea 47, el trabajador 28, el horario 4, el dia 5, rango salarial 1: 1.0
La tarea 47, el trabajador 43, el horario 4, el dia 5, rango salarial 1: 1.0
La tarea 47, el trabajador 45, el horario 4, el dia 5, rango salarial 2: 1.0
La tarea 47, el trabajador 53, el horario 4, el dia 5, rango salarial 0: 1.0
La tarea 47, el trabajador 58, el horario 4, el dia 5, rango salarial 0: 1.0
La tarea 47, el trabajador 66, el horario 4, el dia 5, rango salarial 0: 1.0
La tarea 47, el trabajador 91, el horario 4, el dia 5, rango salarial 2: 1.0
La tarea 47, el trabajador 91, el horario 4, el dia 5, rango salarial 3: 1.0
La tarea 48, el trabajador 18, el horario 3, el dia 3, rango salarial 1: 1.0
La tarea 48, el trabajador 19, el horario 3, el dia 3, rango salarial 1: 1.0
La tarea 48, el trabajador 54, el horario 3, el dia 3, rango salarial 2: 1.0
La tarea 49, el trabajador 2, el horario 4, el dia 5, rango salarial 2: 1.0
La tarea 49, el trabajador 4, el horario 4, el dia 5, rango salarial 1: 1.0
La tarea 49, el trabajador 17, el horario 4, el dia 5, rango salarial 2: 1.0
La tarea 49, el trabajador 26, el horario 4, el dia 5, rango salarial 0: 1.0
La tarea 49, el trabajador 36, el horario 4, el dia 5, rango salarial 0: 1.0
La tarea 49, el trabajador 46, el horario 4, el dia 5, rango salarial 1: 1.0
La tarea 49, el trabajador 48, el horario 4, el dia 5, rango salarial 0: 1.0
La tarea 49, el trabajador 53, el horario 4, el dia 5, rango salarial 2: 1.0
La tarea 49, el trabajador 59, el horario 4, el dia 5, rango salarial 1: 1.0
La tarea 49, el trabajador 72, el horario 4, el dia 5, rango salarial 0: 1.0
La tarea 49, el trabajador 78, el horario 4, el dia 5, rango salarial 2: 1.0
La tarea 49, el trabajador 87, el horario 4, el dia 5, rango salarial 0: 1.0
La tarea 51, el trabajador 8, el horario 2, el dia 1, rango salarial 0: 1.0
La tarea 51, el trabajador 18, el horario 2, el dia 1, rango salarial 2: 1.0
La tarea 51, el trabajador 42, el horario 2, el dia 1, rango salarial 1: 1.0
La tarea 51, el trabajador 59, el horario 2, el dia 1, rango salarial 1: 1.0
La tarea 51, el trabajador 60, el horario 2, el dia 1, rango salarial 0: 1.0
La tarea 51, el trabajador 77, el horario 2, el dia 1, rango salarial 2: 1.0
La tarea 51, el trabajador 79, el horario 2, el dia 1, rango salarial 0: 1.0
La tarea 51, el trabajador 87, el horario 2, el dia 1, rango salarial 2: 1.0
La tarea 52, el trabajador 7, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 52, el trabajador 15, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 52, el trabajador 49, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 53, el trabajador 5, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 53, el trabajador 92, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 53, el trabajador 96, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 54, el trabajador 2, el horario 0, el dia 5, rango salarial 0: 1.0
La tarea 54, el trabajador 44, el horario 0, el dia 5, rango salarial 2: 1.0
La tarea 54, el trabajador 53, el horario 0, el dia 5, rango salarial 2: 1.0
La tarea 54, el trabajador 68, el horario 0, el dia 5, rango salarial 3: 1.0
La tarea 54, el trabajador 70, el horario 0, el dia 5, rango salarial 0: 1.0
La tarea 54, el trabajador 73, el horario 0, el dia 5, rango salarial 2: 1.0
La tarea 55, el trabajador 67, el horario 4, el dia 2, rango salarial 0: 1.0
La tarea 55, el trabajador 90, el horario 4, el dia 2, rango salarial 0: 1.0
La tarea 55, el trabajador 92, el horario 4, el dia 2, rango salarial 2: 1.0
La tarea 55, el trabajador 98, el horario 4, el dia 2, rango salarial 1: 1.0
La tarea 56, el trabajador 2, el horario 0, el dia 2, rango salarial 2: 1.0
La tarea 56, el trabajador 14, el horario 0, el dia 2, rango salarial 1: 1.0
La tarea 56, el trabajador 25, el horario 0, el dia 2, rango salarial 1: 1.0
La tarea 56, el trabajador 26, el horario 0, el dia 2, rango salarial 0: 1.0
La tarea 56, el trabajador 29, el horario 0, el dia 2, rango salarial 0: 1.0
La tarea 56, el trabajador 42, el horario 0, el dia 2, rango salarial 2: 1.0
La tarea 56, el trabajador 52, el horario 0, el dia 2, rango salarial 1: 1.0
La tarea 56, el trabajador 60, el horario 0, el dia 2, rango salarial 1: 1.0
La tarea 56, el trabajador 84, el horario 0, el dia 2, rango salarial 0: 1.0
La tarea 57, el trabajador 6, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 57, el trabajador 37, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 57, el trabajador 43, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 57, el trabajador 47, el horario 0, el dia 0, rango salarial 3: 1.0
La tarea 57, el trabajador 55, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 57, el trabajador 61, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 57, el trabajador 87, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 57, el trabajador 91, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 57, el trabajador 99, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 58, el trabajador 8, el horario 3, el dia 1, rango salarial 2: 1.0
La tarea 58, el trabajador 38, el horario 3, el dia 1, rango salarial 0: 1.0
La tarea 58, el trabajador 63, el horario 3, el dia 1, rango salarial 0: 1.0
La tarea 59, el trabajador 10, el horario 0, el dia 2, rango salarial 0: 1.0
La tarea 59, el trabajador 16, el horario 0, el dia 2, rango salarial 1: 1.0
La tarea 59, el trabajador 36, el horario 0, el dia 2, rango salarial 2: 1.0
La tarea 59, el trabajador 37, el horario 0, el dia 2, rango salarial 2: 1.0
La tarea 59, el trabajador 46, el horario 0, el dia 2, rango salarial 2: 1.0
La tarea 59, el trabajador 49, el horario 0, el dia 2, rango salarial 2: 1.0
La tarea 59, el trabajador 62, el horario 0, el dia 2, rango salarial 0: 1.0
La tarea 61, el trabajador 1, el horario 0, el dia 2, rango salarial 3: 1.0
La tarea 61, el trabajador 8, el horario 0, el dia 2, rango salarial 3: 1.0
La tarea 61, el trabajador 28, el horario 0, el dia 2, rango salarial 3: 1.0
La tarea 61, el trabajador 29, el horario 0, el dia 2, rango salarial 3: 1.0
La tarea 61, el trabajador 44, el horario 0, el dia 2, rango salarial 2: 1.0
La tarea 61, el trabajador 49, el horario 0, el dia 2, rango salarial 0: 1.0
La tarea 61, el trabajador 73, el horario 0, el dia 2, rango salarial 2: 1.0
La tarea 61, el trabajador 77, el horario 0, el dia 2, rango salarial 3: 1.0
La tarea 61, el trabajador 87, el horario 0, el dia 2, rango salarial 2: 1.0
La tarea 61, el trabajador 95, el horario 0, el dia 2, rango salarial 0: 1.0
La tarea 61, el trabajador 97, el horario 0, el dia 2, rango salarial 2: 1.0
La tarea 62, el trabajador 2, el horario 0, el dia 2, rango salarial 0: 1.0
La tarea 62, el trabajador 25, el horario 0, el dia 2, rango salarial 0: 1.0
La tarea 62, el trabajador 26, el horario 0, el dia 2, rango salarial 2: 1.0
La tarea 62, el trabajador 53, el horario 0, el dia 2, rango salarial 2: 1.0
La tarea 62, el trabajador 61, el horario 0, el dia 2, rango salarial 1: 1.0
La tarea 62, el trabajador 65, el horario 0, el dia 2, rango salarial 2: 1.0
La tarea 62, el trabajador 69, el horario 0, el dia 2, rango salarial 0: 1.0
