Funcion objetivo: 1007973.0(integer optimal solution)


** Creation Runtime:0:0:37
** Execution Default Runtime:12:21:3

La tarea 438, el trabajador 4, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 441, el trabajador 2, el horario 2, el dia 2, rango salarial 1: 1.0
La tarea 441, el trabajador 5, el horario 2, el dia 2, rango salarial 1: 1.0
La tarea 441, el trabajador 6, el horario 2, el dia 2, rango salarial 1: 1.0
La tarea 441, el trabajador 8, el horario 2, el dia 2, rango salarial 1: 1.0
La tarea 447, el trabajador 0, el horario 4, el dia 5, rango salarial 0: 1.0
La tarea 447, el trabajador 2, el horario 4, el dia 5, rango salarial 2: 1.0
La tarea 447, el trabajador 5, el horario 4, el dia 5, rango salarial 2: 1.0
La tarea 450, el trabajador 3, el horario 0, el dia 4, rango salarial 0: 1.0
La tarea 450, el trabajador 5, el horario 0, el dia 4, rango salarial 2: 1.0
La tarea 450, el trabajador 6, el horario 0, el dia 4, rango salarial 2: 1.0
La tarea 450, el trabajador 8, el horario 0, el dia 4, rango salarial 2: 1.0
La tarea 464, el trabajador 2, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 464, el trabajador 6, el horario 0, el dia 0, rango salarial 2: 1.0000000000110272
La tarea 464, el trabajador 7, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 464, el trabajador 8, el horario 0, el dia 0, rango salarial 3: 1.0
La tarea 464, el trabajador 9, el horario 0, el dia 0, rango salarial 1: 1.0000000000110272
La tarea 468, el trabajador 0, el horario 4, el dia 3, rango salarial 2: 1.0
La tarea 468, el trabajador 2, el horario 4, el dia 3, rango salarial 0: 1.0
La tarea 468, el trabajador 5, el horario 4, el dia 3, rango salarial 0: 1.0
En la tarea 28 conflicto entre el trabajador 0 y el trabajador 4: 1.0
En la tarea 31 conflicto entre el trabajador 0 y el trabajador 4: 1.0
En la tarea 39 conflicto entre el trabajador 0 y el trabajador 4: 1.0
En la tarea 52 conflicto entre el trabajador 7 y el trabajador 8: 1.0
En la tarea 87 conflicto entre el trabajador 4 y el trabajador 2: 1.0
En la tarea 89 conflicto entre el trabajador 0 y el trabajador 4: 1.0
En la tarea 101 conflicto entre el trabajador 0 y el trabajador 4: 1.0
En la tarea 169 conflicto entre el trabajador 0 y el trabajador 4: 1.0
En la tarea 171 conflicto entre el trabajador 3 y el trabajador 4: 1.0
En la tarea 185 conflicto entre el trabajador 0 y el trabajador 4: 1.0
En la tarea 198 conflicto entre el trabajador 0 y el trabajador 2: 1.0
En la tarea 198 conflicto entre el trabajador 0 y el trabajador 8: 1.0
En la tarea 198 conflicto entre el trabajador 2 y el trabajador 8: 1.0
En la tarea 198 conflicto entre el trabajador 5 y el trabajador 0: 1.0
En la tarea 201 conflicto entre el trabajador 0 y el trabajador 4: 1.0
En la tarea 241 conflicto entre el trabajador 0 y el trabajador 4: 1.0
En la tarea 282 conflicto entre el trabajador 4 y el trabajador 2: 1.0
En la tarea 382 conflicto entre el trabajador 0 y el trabajador 4: 1.0
En la tarea 387 conflicto entre el trabajador 0 y el trabajador 4: 1.0
En la tarea 399 conflicto entre el trabajador 0 y el trabajador 2: 1.0
En la tarea 399 conflicto entre el trabajador 0 y el trabajador 7: 1.0
En la tarea 399 conflicto entre el trabajador 1 y el trabajador 2: 1.0
En la tarea 399 conflicto entre el trabajador 7 y el trabajador 0: 1.0
En la tarea 416 conflicto entre el trabajador 2 y el trabajador 3: 1.0
En la tarea 438 conflicto entre el trabajador 0 y el trabajador 4: 1.0
En la tarea 441 conflicto entre el trabajador 2 y el trabajador 8: 1.0
En la tarea 447 conflicto entre el trabajador 0 y el trabajador 2: 1.0
En la tarea 447 conflicto entre el trabajador 5 y el trabajador 0: 1.0
En la tarea 464 conflicto entre el trabajador 2 y el trabajador 8: 1.0000000000110272
En la tarea 464 conflicto entre el trabajador 7 y el trabajador 8: 1.0
En la tarea 468 conflicto entre el trabajador 0 y el trabajador 2: 1.0
En la tarea 468 conflicto entre el trabajador 5 y el trabajador 0: 1.0
